true_idx,pred_idx,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere,count,proportion,same_network,same_hemisphere
227,210,aGP-lh,pGP-rh,Pallidum_ant,Pallidum_post,left,right,37,0.185,False,False
221,204,THA-VP-lh,THA-DP-rh,Thalamus_VP,Thalamus_DP,left,right,20,0.1,False,False
211,226,aGP-rh,pGP-lh,Pallidum_ant,Pallidum_post,right,left,18,0.09,False,False
211,227,aGP-rh,aGP-lh,Pallidum_ant,Pallidum_ant,right,left,16,0.08,True,False
210,227,pGP-rh,aGP-lh,Pallidum_post,Pallidum_ant,right,left,15,0.075,False,False
226,210,pGP-lh,pGP-rh,Pallidum_post,Pallidum_post,left,right,15,0.075,True,False
162,202,RH_LimbicA_TempPole_3,lAMY-rh,LimbicA,Amygdala_lat,right,right,14,0.07,False,True
227,211,aGP-lh,aGP-rh,Pallidum_ant,Pallidum_ant,left,right,13,0.065,True,False
226,211,pGP-lh,aGP-rh,Pallidum_post,Pallidum_ant,left,right,13,0.065,False,False
216,202,aHIP-lh,lAMY-rh,Hippocampus_ant,Amygdala_lat,left,right,11,0.055,False,False
229,227,pPUT-lh,aGP-lh,Putamen_post,Pallidum_ant,left,left,10,0.05,False,True
55,202,LH_LimbicA_TempPole_4,lAMY-rh,LimbicA,Amygdala_lat,left,right,10,0.05,False,False
210,211,pGP-rh,aGP-rh,Pallidum_post,Pallidum_ant,right,right,10,0.05,False,True
219,202,mAMY-lh,lAMY-rh,Amygdala_med,Amygdala_lat,left,right,9,0.045,False,False
109,8,RH_VisPeri_ExStrSup_1,LH_VisPeri_ExStrInf_3,VisPeri,VisPeri,right,left,9,0.045,True,False
229,210,pPUT-lh,pGP-rh,Putamen_post,Pallidum_post,left,right,8,0.04,False,False
169,227,RH_ContA_Cingm_1,aGP-lh,ContA,Pallidum_ant,right,left,8,0.04,False,False
161,187,RH_LimbicA_TempPole_2,RH_DefaultA_PFCm_2,LimbicA,DefaultA,right,right,8,0.04,False,True
187,211,RH_DefaultA_PFCm_2,aGP-rh,DefaultA,Pallidum_ant,right,right,8,0.04,False,True
204,221,THA-DP-rh,THA-VP-lh,Thalamus_DP,Thalamus_VP,right,left,8,0.04,False,False
211,187,aGP-rh,RH_DefaultA_PFCm_2,Pallidum_ant,DefaultA,right,right,7,0.035,False,True
206,221,THA-VA-rh,THA-VP-lh,Thalamus_VA,Thalamus_VP,right,left,7,0.035,False,False
205,226,THA-VP-rh,pGP-lh,Thalamus_VP,Pallidum_post,right,left,7,0.035,False,False
205,227,THA-VP-rh,aGP-lh,Thalamus_VP,Pallidum_ant,right,left,7,0.035,False,False
223,204,THA-DA-lh,THA-DP-rh,Thalamus_DA,Thalamus_DP,left,right,7,0.035,False,False
53,54,LH_LimbicA_TempPole_2,LH_LimbicA_TempPole_3,LimbicA,LimbicA,left,left,7,0.035,True,True
224,211,NAc-shell-lh,aGP-rh,Accumbens_shell,Pallidum_ant,left,right,7,0.035,False,False
142,211,RH_SalVentAttnA_PrC_1,aGP-rh,SalVentAttnA,Pallidum_ant,right,right,7,0.035,False,True
217,187,pHIP-lh,RH_DefaultA_PFCm_2,Hippocampus_post,DefaultA,left,right,7,0.035,False,False
202,217,lAMY-rh,pHIP-lh,Amygdala_lat,Hippocampus_post,right,left,7,0.035,False,False
213,211,pPUT-rh,aGP-rh,Putamen_post,Pallidum_ant,right,right,6,0.03,False,True
204,211,THA-DP-rh,aGP-rh,Thalamus_DP,Pallidum_ant,right,right,6,0.03,False,True
147,210,RH_SalVentAttnA_ParMed_1,pGP-rh,SalVentAttnA,Pallidum_post,right,right,6,0.03,False,True
225,211,NAc-core-lh,aGP-rh,Accumbens_core,Pallidum_ant,left,right,6,0.03,False,False
225,227,NAc-core-lh,aGP-lh,Accumbens_core,Pallidum_ant,left,left,6,0.03,False,True
142,226,RH_SalVentAttnA_PrC_1,pGP-lh,SalVentAttnA,Pallidum_post,right,left,6,0.03,False,False
54,162,LH_LimbicA_TempPole_3,RH_LimbicA_TempPole_3,LimbicA,LimbicA,left,right,6,0.03,True,False
52,202,LH_LimbicA_TempPole_1,lAMY-rh,LimbicA,Amygdala_lat,left,right,6,0.03,False,False
226,201,pGP-lh,pHIP-rh,Pallidum_post,Hippocampus_post,left,right,6,0.03,False,False
208,227,NAc-shell-rh,aGP-lh,Accumbens_shell,Pallidum_ant,right,left,6,0.03,False,False
226,205,pGP-lh,THA-VP-rh,Pallidum_post,Thalamus_VP,left,right,6,0.03,False,False
208,210,NAc-shell-rh,pGP-rh,Accumbens_shell,Pallidum_post,right,right,6,0.03,False,True
222,227,THA-VA-lh,aGP-lh,Thalamus_VA,Pallidum_ant,left,left,6,0.03,False,True
203,52,mAMY-rh,LH_LimbicA_TempPole_1,Amygdala_med,LimbicA,right,left,6,0.03,False,False
225,208,NAc-core-lh,NAc-shell-rh,Accumbens_core,Accumbens_shell,left,right,6,0.03,False,False
202,219,lAMY-rh,mAMY-lh,Amygdala_lat,Amygdala_med,right,left,6,0.03,False,False
201,202,pHIP-rh,lAMY-rh,Hippocampus_post,Amygdala_lat,right,right,6,0.03,False,True
210,204,pGP-rh,THA-DP-rh,Pallidum_post,Thalamus_DP,right,right,6,0.03,False,True
125,210,RH_SomMotB_S2_1,pGP-rh,SomMotB,Pallidum_post,right,right,6,0.03,False,True
224,227,NAc-shell-lh,aGP-lh,Accumbens_shell,Pallidum_ant,left,left,6,0.03,False,True
